pc_time_iso,t_us,status1,status2,status3,ch1,ch2
2026-04-01T11:44:57.047,2211900,192,0,0,1504766,1211756
2026-04-01T11:44:57.051,2214704,192,0,0,738951,1602174
2026-04-01T11:44:57.055,2217424,192,0,0,-8388608,-8325074
2026-04-01T11:44:57.056,2220400,192,0,0,-8388608,-8388608
2026-04-01T11:44:57.060,2223376,192,0,0,5769307,5461164
2026-04-01T11:44:57.064,2226184,192,0,0,4404071,3129058
2026-04-01T11:44:57.064,2228984,192,0,0,1595244,1499340
2026-04-01T11:44:57.068,2231788,192,0,0,-4839969,150198
2026-04-01T11:44:57.072,2234596,192,0,0,-8388608,-7635639
2026-04-01T11:44:57.076,2237580,192,0,0,-7532377,-7150506
2026-04-01T11:44:57.076,2240552,192,0,0,3976144,4905949
2026-04-01T11:44:57.080,2243348,192,0,0,5126312,3861250
2026-04-01T11:44:57.084,2246152,192,0,0,1348959,1669683
2026-04-01T11:44:57.084,2248960,192,0,0,-4615129,-904560
2026-04-01T11:44:57.088,2251848,192,0,0,-8388607,-8388607
2026-04-01T11:44:57.092,2254824,192,0,0,-8388608,-8342537
2026-04-01T11:44:57.092,2257800,192,0,0,3631332,3581028
2026-04-01T11:44:57.096,2260604,192,0,0,1706476,1790677
2026-04-01T11:44:57.100,2263408,192,0,0,1912451,2081759
2026-04-01T11:44:57.101,2266224,192,0,192,128,201
2026-04-01T11:44:57.105,2268508,192,0,0,-8388608,-8388608
2026-04-01T11:44:57.109,2271484,192,0,0,-8388608,-8388608
2026-04-01T11:44:57.109,2274460,192,0,0,6493289,4193411
2026-04-01T11:44:57.113,2277264,192,0,0,2015291,1844120
2026-04-01T11:44:57.117,2280068,192,0,0,1735479,1886392
2026-04-01T11:44:57.121,2282876,192,0,0,-8388608,-5019669
2026-04-01T11:44:57.121,2285848,192,0,0,-8388608,-8388608
2026-04-01T11:44:57.125,2288824,192,0,0,-299546,164515
2026-04-01T11:44:57.129,2291544,192,0,0,6939116,4734939
2026-04-01T11:44:57.129,2294348,192,0,0,2132239,2146998
2026-04-01T11:44:57.133,2297156,192,0,0,-197016,727739
2026-04-01T11:44:57.137,2299876,192,0,0,-8388608,-4045259
2026-04-01T11:44:57.138,2302848,192,0,0,-8388608,-8388608
